match_id,source_match_id,source,competition,season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
SB-7525,7525,statsbomb,FIFA World Cup,2018,2018-06-14 00:00:00+00:00,Russia,Saudi Arabia,5,0,1.2816,0.2488
SB-7576,7576,statsbomb,FIFA World Cup,2018,2018-06-15 00:00:00+00:00,Portugal,Spain,3,3,1.4346,1.6609
SB-7577,7577,statsbomb,FIFA World Cup,2018,2018-06-15 00:00:00+00:00,Morocco,Iran,0,1,1.0592,0.6976
SB-7578,7578,statsbomb,FIFA World Cup,2018,2018-06-15 00:00:00+00:00,Egypt,Uruguay,0,1,0.3645,1.9408
SB-7529,7529,statsbomb,FIFA World Cup,2018,2018-06-16 00:00:00+00:00,Croatia,Nigeria,2,0,1.6945,0.7623
SB-7530,7530,statsbomb,FIFA World Cup,2018,2018-06-16 00:00:00+00:00,France,Australia,2,1,1.5616,0.98
SB-7531,7531,statsbomb,FIFA World Cup,2018,2018-06-16 00:00:00+00:00,Argentina,Iceland,1,1,2.0805,1.0321
SB-7532,7532,statsbomb,FIFA World Cup,2018,2018-06-16 00:00:00+00:00,Peru,Denmark,0,1,1.9264,1.1216
SB-7533,7533,statsbomb,FIFA World Cup,2018,2018-06-17 00:00:00+00:00,Brazil,Switzerland,1,1,1.8666,0.4721
SB-7534,7534,statsbomb,FIFA World Cup,2018,2018-06-17 00:00:00+00:00,Germany,Mexico,0,1,2.2993,0.9933
SB-7535,7535,statsbomb,FIFA World Cup,2018,2018-06-17 00:00:00+00:00,Costa Rica,Serbia,0,1,0.596,1.9926
SB-7536,7536,statsbomb,FIFA World Cup,2018,2018-06-18 00:00:00+00:00,Belgium,Panama,3,0,1.2121,0.6254
SB-7537,7537,statsbomb,FIFA World Cup,2018,2018-06-18 00:00:00+00:00,Tunisia,England,1,2,0.9457,2.6264
SB-7538,7538,statsbomb,FIFA World Cup,2018,2018-06-18 00:00:00+00:00,Sweden,South Korea,1,0,2.0151,0.4144
SB-7539,7539,statsbomb,FIFA World Cup,2018,2018-06-19 00:00:00+00:00,Poland,Senegal,1,2,1.0423,1.4278
SB-7540,7540,statsbomb,FIFA World Cup,2018,2018-06-19 00:00:00+00:00,Russia,Egypt,3,1,0.9812,1.6975
SB-7541,7541,statsbomb,FIFA World Cup,2018,2018-06-19 00:00:00+00:00,Colombia,Japan,1,2,0.8063,2.3207
SB-7542,7542,statsbomb,FIFA World Cup,2018,2018-06-20 00:00:00+00:00,Portugal,Morocco,1,0,0.885,1.4551
SB-7543,7543,statsbomb,FIFA World Cup,2018,2018-06-20 00:00:00+00:00,Iran,Spain,0,1,0.4265,2.197
SB-7544,7544,statsbomb,FIFA World Cup,2018,2018-06-20 00:00:00+00:00,Uruguay,Saudi Arabia,1,0,1.8074,0.2735
SB-7545,7545,statsbomb,FIFA World Cup,2018,2018-06-21 00:00:00+00:00,Argentina,Croatia,0,3,1.2181,1.8317
SB-7546,7546,statsbomb,FIFA World Cup,2018,2018-06-21 00:00:00+00:00,France,Peru,1,0,1.8624,0.6252
SB-7547,7547,statsbomb,FIFA World Cup,2018,2018-06-21 00:00:00+00:00,Denmark,Australia,1,1,1.0144,1.4122
SB-7548,7548,statsbomb,FIFA World Cup,2018,2018-06-22 00:00:00+00:00,Brazil,Costa Rica,2,0,3.0964,0.1587
SB-7549,7549,statsbomb,FIFA World Cup,2018,2018-06-22 00:00:00+00:00,Nigeria,Iceland,2,0,1.3122,1.5522
SB-7550,7550,statsbomb,FIFA World Cup,2018,2018-06-22 00:00:00+00:00,Serbia,Switzerland,1,2,1.1535,1.5573
SB-7551,7551,statsbomb,FIFA World Cup,2018,2018-06-23 00:00:00+00:00,Germany,Sweden,2,1,1.3181,0.8152
SB-7552,7552,statsbomb,FIFA World Cup,2018,2018-06-23 00:00:00+00:00,Belgium,Tunisia,5,2,5.3364,1.1882
SB-7553,7553,statsbomb,FIFA World Cup,2018,2018-06-23 00:00:00+00:00,South Korea,Mexico,1,2,0.8218,1.8776
SB-7554,7554,statsbomb,FIFA World Cup,2018,2018-06-24 00:00:00+00:00,England,Panama,6,1,3.1683,1.08
SB-7555,7555,statsbomb,FIFA World Cup,2018,2018-06-24 00:00:00+00:00,Poland,Colombia,0,3,1.1142,1.3869
SB-7556,7556,statsbomb,FIFA World Cup,2018,2018-06-24 00:00:00+00:00,Japan,Senegal,2,2,0.9822,1.8783
SB-7557,7557,statsbomb,FIFA World Cup,2018,2018-06-25 00:00:00+00:00,Iran,Portugal,1,1,1.577,1.5224
SB-7558,7558,statsbomb,FIFA World Cup,2018,2018-06-25 00:00:00+00:00,Uruguay,Russia,3,0,2.4826,0.1802
SB-7559,7559,statsbomb,FIFA World Cup,2018,2018-06-25 00:00:00+00:00,Saudi Arabia,Egypt,2,1,2.5458,0.9237
SB-7560,7560,statsbomb,FIFA World Cup,2018,2018-06-25 00:00:00+00:00,Spain,Morocco,2,2,2.6045,1.0718
SB-7561,7561,statsbomb,FIFA World Cup,2018,2018-06-26 00:00:00+00:00,Iceland,Croatia,1,2,2.1327,0.6739
SB-7562,7562,statsbomb,FIFA World Cup,2018,2018-06-26 00:00:00+00:00,Australia,Peru,0,2,1.6293,0.3364
SB-7563,7563,statsbomb,FIFA World Cup,2018,2018-06-26 00:00:00+00:00,Denmark,France,0,0,0.139,0.4181
SB-7564,7564,statsbomb,FIFA World Cup,2018,2018-06-26 00:00:00+00:00,Nigeria,Argentina,1,2,1.3053,0.8506
SB-7565,7565,statsbomb,FIFA World Cup,2018,2018-06-27 00:00:00+00:00,Serbia,Brazil,0,2,0.9483,1.4198
SB-7566,7566,statsbomb,FIFA World Cup,2018,2018-06-27 00:00:00+00:00,Mexico,Sweden,0,3,1.6107,2.7905
SB-7567,7567,statsbomb,FIFA World Cup,2018,2018-06-27 00:00:00+00:00,South Korea,Germany,2,0,1.7746,2.7064
SB-7568,7568,statsbomb,FIFA World Cup,2018,2018-06-27 00:00:00+00:00,Switzerland,Costa Rica,2,2,1.2197,1.5762
SB-7569,7569,statsbomb,FIFA World Cup,2018,2018-06-28 00:00:00+00:00,Panama,Tunisia,1,2,0.6908,2.8525
SB-7570,7570,statsbomb,FIFA World Cup,2018,2018-06-28 00:00:00+00:00,England,Belgium,0,1,1.2007,0.9653
SB-7571,7571,statsbomb,FIFA World Cup,2018,2018-06-28 00:00:00+00:00,Senegal,Colombia,0,1,0.3609,0.2849
SB-7572,7572,statsbomb,FIFA World Cup,2018,2018-06-28 00:00:00+00:00,Japan,Poland,0,1,0.8906,1.0407
SB-7579,7579,statsbomb,FIFA World Cup,2018,2018-06-30 00:00:00+00:00,Uruguay,Portugal,2,1,0.476,0.9956
SB-7580,7580,statsbomb,FIFA World Cup,2018,2018-06-30 00:00:00+00:00,France,Argentina,4,3,1.638,1.4466
SB-7581,7581,statsbomb,FIFA World Cup,2018,2018-07-01 00:00:00+00:00,Croatia,Denmark,1,1,6.0877,4.614
SB-7582,7582,statsbomb,FIFA World Cup,2018,2018-07-01 00:00:00+00:00,Spain,Russia,1,1,5.3586,4.5404
SB-7583,7583,statsbomb,FIFA World Cup,2018,2018-07-02 00:00:00+00:00,Brazil,Mexico,2,0,3.3204,0.5828
SB-7584,7584,statsbomb,FIFA World Cup,2018,2018-07-02 00:00:00+00:00,Belgium,Japan,3,2,2.9178,0.6938
SB-7585,7585,statsbomb,FIFA World Cup,2018,2018-07-03 00:00:00+00:00,Colombia,England,1,1,4.7487,6.1618
SB-7586,7586,statsbomb,FIFA World Cup,2018,2018-07-03 00:00:00+00:00,Sweden,Switzerland,1,0,0.9105,0.533
SB-8649,8649,statsbomb,FIFA World Cup,2018,2018-07-06 00:00:00+00:00,Uruguay,France,0,2,0.6932,0.5388
SB-8650,8650,statsbomb,FIFA World Cup,2018,2018-07-06 00:00:00+00:00,Brazil,Belgium,1,2,2.6092,0.4053
SB-8651,8651,statsbomb,FIFA World Cup,2018,2018-07-07 00:00:00+00:00,Sweden,England,0,2,0.8342,0.7582
SB-8652,8652,statsbomb,FIFA World Cup,2018,2018-07-07 00:00:00+00:00,Russia,Croatia,2,2,4.9884,5.568
SB-8655,8655,statsbomb,FIFA World Cup,2018,2018-07-10 00:00:00+00:00,France,Belgium,1,0,1.6817,0.5669
SB-8656,8656,statsbomb,FIFA World Cup,2018,2018-07-11 00:00:00+00:00,Croatia,England,2,1,2.1413,0.5467
SB-8657,8657,statsbomb,FIFA World Cup,2018,2018-07-14 00:00:00+00:00,Belgium,England,2,0,1.3207,1.3354
SB-8658,8658,statsbomb,FIFA World Cup,2018,2018-07-15 00:00:00+00:00,France,Croatia,4,2,1.098,1.4803
FTE-00001,1933-20190105-1,five_thirty_eight,AFC Asian Cup,2019,2019-01-05 00:00:00+00:00,United Arab Emirates,Bahrain,1,1,2.29,1.63
FTE-00002,1933-20190106-2,five_thirty_eight,AFC Asian Cup,2019,2019-01-06 00:00:00+00:00,Australia,Jordan,0,1,1.45,0.5
FTE-00003,1933-20190106-3,five_thirty_eight,AFC Asian Cup,2019,2019-01-06 00:00:00+00:00,Thailand,India,1,4,0.8,1.54
FTE-00004,1933-20190106-4,five_thirty_eight,AFC Asian Cup,2019,2019-01-06 00:00:00+00:00,Syria,Palestine,0,0,0.98,0.1
FTE-00005,1933-20190107-5,five_thirty_eight,AFC Asian Cup,2019,2019-01-07 00:00:00+00:00,China,Kyrgyzstan,2,1,0.85,0.87
FTE-00006,1933-20190107-6,five_thirty_eight,AFC Asian Cup,2019,2019-01-07 00:00:00+00:00,South Korea,Philippines,1,0,1.0,0.31
FTE-00007,1933-20190107-7,five_thirty_eight,AFC Asian Cup,2019,2019-01-07 00:00:00+00:00,Iran,Yemen,5,0,3.15,0.26
FTE-00008,1933-20190108-8,five_thirty_eight,AFC Asian Cup,2019,2019-01-08 00:00:00+00:00,Iraq,Vietnam,3,2,1.55,0.59
FTE-00009,1933-20190108-9,five_thirty_eight,AFC Asian Cup,2019,2019-01-08 00:00:00+00:00,Saudi Arabia,North Korea,4,0,1.2,0.54
FTE-00010,1933-20190109-10,five_thirty_eight,AFC Asian Cup,2019,2019-01-09 00:00:00+00:00,Japan,Turkmenistan,3,2,2.25,1.47
FTE-00011,1933-20190109-11,five_thirty_eight,AFC Asian Cup,2019,2019-01-09 00:00:00+00:00,Uzbekistan,Oman,2,1,0.77,2.03
FTE-00012,1933-20190109-12,five_thirty_eight,AFC Asian Cup,2019,2019-01-09 00:00:00+00:00,Qatar,Lebanon,2,0,1.59,0.23
FTE-00013,1933-20190110-13,five_thirty_eight,AFC Asian Cup,2019,2019-01-10 00:00:00+00:00,Bahrain,Thailand,0,1,1.45,1.0
FTE-00014,1933-20190110-14,five_thirty_eight,AFC Asian Cup,2019,2019-01-10 00:00:00+00:00,Jordan,Syria,2,0,2.01,0.75
FTE-00015,1933-20190110-15,five_thirty_eight,AFC Asian Cup,2019,2019-01-10 00:00:00+00:00,India,United Arab Emirates,0,2,0.97,0.41
FTE-00016,1933-20190111-16,five_thirty_eight,AFC Asian Cup,2019,2019-01-11 00:00:00+00:00,Palestine,Australia,0,3,0.24,1.87
FTE-00017,1933-20190111-17,five_thirty_eight,AFC Asian Cup,2019,2019-01-11 00:00:00+00:00,Philippines,China,0,3,0.25,1.94
FTE-00018,1933-20190111-18,five_thirty_eight,AFC Asian Cup,2019,2019-01-11 00:00:00+00:00,Kyrgyzstan,South Korea,0,1,0.97,2.22
FTE-00019,1933-20190112-19,five_thirty_eight,AFC Asian Cup,2019,2019-01-12 00:00:00+00:00,Vietnam,Iran,0,2,0.51,1.53
FTE-00020,1933-20190112-20,five_thirty_eight,AFC Asian Cup,2019,2019-01-12 00:00:00+00:00,Yemen,Iraq,0,3,0.07,0.77
FTE-00021,1933-20190112-21,five_thirty_eight,AFC Asian Cup,2019,2019-01-12 00:00:00+00:00,Lebanon,Saudi Arabia,0,2,0.15,1.16
FTE-00022,1933-20190113-22,five_thirty_eight,AFC Asian Cup,2019,2019-01-13 00:00:00+00:00,North Korea,Qatar,0,6,0.22,1.67
FTE-00023,1933-20190113-23,five_thirty_eight,AFC Asian Cup,2019,2019-01-13 00:00:00+00:00,Oman,Japan,0,1,0.6,2.15
FTE-00024,1933-20190113-24,five_thirty_eight,AFC Asian Cup,2019,2019-01-13 00:00:00+00:00,Turkmenistan,Uzbekistan,0,4,0.36,3.29
FTE-00025,1933-20190114-25,five_thirty_eight,AFC Asian Cup,2019,2019-01-14 00:00:00+00:00,India,Bahrain,0,1,0.06,2.21
FTE-00026,1933-20190114-26,five_thirty_eight,AFC Asian Cup,2019,2019-01-14 00:00:00+00:00,United Arab Emirates,Thailand,1,1,1.34,1.58
FTE-00027,1933-20190115-27,five_thirty_eight,AFC Asian Cup,2019,2019-01-15 00:00:00+00:00,Palestine,Jordan,0,0,0.46,0.36
FTE-00028,1933-20190115-28,five_thirty_eight,AFC Asian Cup,2019,2019-01-15 00:00:00+00:00,Australia,Syria,3,2,1.8,2.25
FTE-00029,1933-20190116-29,five_thirty_eight,AFC Asian Cup,2019,2019-01-16 00:00:00+00:00,South Korea,China,2,0,2.59,0.32
FTE-00030,1933-20190116-30,five_thirty_eight,AFC Asian Cup,2019,2019-01-16 00:00:00+00:00,Kyrgyzstan,Philippines,3,1,1.32,0.78
FTE-00031,1933-20190116-31,five_thirty_eight,AFC Asian Cup,2019,2019-01-16 00:00:00+00:00,Vietnam,Yemen,2,0,1.21,0.44
FTE-00032,1933-20190116-32,five_thirty_eight,AFC Asian Cup,2019,2019-01-16 00:00:00+00:00,Iran,Iraq,0,0,1.04,0.27
FTE-00033,1933-20190117-33,five_thirty_eight,AFC Asian Cup,2019,2019-01-17 00:00:00+00:00,Japan,Uzbekistan,2,1,0.73,0.54
FTE-00034,1933-20190117-34,five_thirty_eight,AFC Asian Cup,2019,2019-01-17 00:00:00+00:00,Oman,Turkmenistan,3,1,2.24,1.14
FTE-00035,1933-20190117-35,five_thirty_eight,AFC Asian Cup,2019,2019-01-17 00:00:00+00:00,Lebanon,North Korea,4,1,4.1,0.82
FTE-00036,1933-20190117-36,five_thirty_eight,AFC Asian Cup,2019,2019-01-17 00:00:00+00:00,Saudi Arabia,Qatar,0,2,0.7,2.02
FTE-00037,1933-20190120-37,five_thirty_eight,AFC Asian Cup,2019,2019-01-20 00:00:00+00:00,Jordan,Vietnam,1,1,1.0,1.48
FTE-00038,1933-20190120-38,five_thirty_eight,AFC Asian Cup,2019,2019-01-20 00:00:00+00:00,Thailand,China,1,2,0.58,2.69
FTE-00039,1933-20190120-39,five_thirty_eight,AFC Asian Cup,2019,2019-01-20 00:00:00+00:00,Iran,Oman,2,0,2.72,0.94
FTE-00040,1933-20190121-40,five_thirty_eight,AFC Asian Cup,2019,2019-01-21 00:00:00+00:00,Japan,Saudi Arabia,1,0,0.36,0.87
FTE-00041,1933-20190121-41,five_thirty_eight,AFC Asian Cup,2019,2019-01-21 00:00:00+00:00,Australia,Uzbekistan,0,0,0.76,0.63
FTE-00042,1933-20190121-42,five_thirty_eight,AFC Asian Cup,2019,2019-01-21 00:00:00+00:00,United Arab Emirates,Kyrgyzstan,3,2,2.93,1.79
FTE-00043,1933-20190122-43,five_thirty_eight,AFC Asian Cup,2019,2019-01-22 00:00:00+00:00,South Korea,Bahrain,2,1,1.2,1.42
FTE-00044,1933-20190122-44,five_thirty_eight,AFC Asian Cup,2019,2019-01-22 00:00:00+00:00,Qatar,Iraq,1,0,0.67,0.62
FTE-00045,1933-20190124-45,five_thirty_eight,AFC Asian Cup,2019,2019-01-24 00:00:00+00:00,Vietnam,Japan,0,1,0.53,1.42
FTE-00046,1933-20190124-46,five_thirty_eight,AFC Asian Cup,2019,2019-01-24 00:00:00+00:00,China,Iran,0,3,0.32,2.42
FTE-00047,1933-20190125-47,five_thirty_eight,AFC Asian Cup,2019,2019-01-25 00:00:00+00:00,South Korea,Qatar,0,1,0.42,0.65
FTE-00048,1933-20190125-48,five_thirty_eight,AFC Asian Cup,2019,2019-01-25 00:00:00+00:00,United Arab Emirates,Australia,1,0,0.89,1.92
FTE-00049,1929-20190127-49,five_thirty_eight,International Match,2019,2019-01-27 00:00:00+00:00,USA,Panama,3,0,2.22,0.52
FTE-00050,1933-20190128-50,five_thirty_eight,AFC Asian Cup,2019,2019-01-28 00:00:00+00:00,Iran,Japan,0,3,1.15,1.79
FTE-00051,1933-20190129-51,five_thirty_eight,AFC Asian Cup,2019,2019-01-29 00:00:00+00:00,Qatar,United Arab Emirates,4,0,0.62,0.91
FTE-00052,1933-20190201-52,five_thirty_eight,AFC Asian Cup,2019,2019-02-01 00:00:00+00:00,Japan,Qatar,1,3,1.02,1.9
FTE-00053,1929-20190202-53,five_thirty_eight,International Match,2019,2019-02-02 00:00:00+00:00,USA,Costa Rica,2,0,1.58,0.19
FTE-00054,1929-20190320-54,five_thirty_eight,International Match,2019,2019-03-20 00:00:00+00:00,Wales,Trinidad and Tobago,1,0,2.37,0.1
FTE-00055,1929-20190320-55,five_thirty_eight,International Match,2019,2019-03-20 00:00:00+00:00,Germany,Serbia,1,1,2.83,1.54
FTE-00056,1929-20190321-56,five_thirty_eight,International Match,2019,2019-03-21 00:00:00+00:00,United Arab Emirates,Saudi Arabia,2,1,1.39,1.07
FTE-00059,1929-20190321-59,five_thirty_eight,International Match,2019,2019-03-21 00:00:00+00:00,Kosovo,Denmark,2,2,0.87,1.4
FTE-00068,1929-20190321-68,five_thirty_eight,International Match,2019,2019-03-21 00:00:00+00:00,USA,Ecuador,1,0,0.57,0.05
FTE-00057,1941-20190321-57,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Kazakhstan,Scotland,3,0,0.8,0.56
FTE-00058,1941-20190321-58,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Cyprus,San Marino,5,0,4.5,0.48
FTE-00060,1941-20190321-60,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Austria,Poland,0,1,1.17,1.45
FTE-00061,1941-20190321-61,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,North Macedonia,Latvia,3,1,1.83,0.74
FTE-00062,1941-20190321-62,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Northern Ireland,Estonia,2,0,2.5,0.42
FTE-00063,1941-20190321-63,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Netherlands,Belarus,4,0,2.91,0.54
FTE-00064,1941-20190321-64,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Croatia,Azerbaijan,2,1,2.05,0.73
FTE-00065,1941-20190321-65,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Israel,Slovenia,1,1,0.32,1.32
FTE-00066,1941-20190321-66,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Belgium,Russia,3,1,2.64,0.35
FTE-00067,1941-20190321-67,five_thirty_eight,European Championship Qualifying,2019,2019-03-21 00:00:00+00:00,Slovakia,Hungary,2,0,1.14,0.57
FTE-00069,1929-20190322-69,five_thirty_eight,International Match,2019,2019-03-22 00:00:00+00:00,Japan,Colombia,0,1,1.24,2.5
FTE-00077,1929-20190322-77,five_thirty_eight,International Match,2019,2019-03-22 00:00:00+00:00,Argentina,Venezuela,1,3,1.15,1.58
FTE-00078,1929-20190322-78,five_thirty_eight,International Match,2019,2019-03-22 00:00:00+00:00,Peru,Paraguay,1,0,0.9,1.56
FTE-00079,1929-20190322-79,five_thirty_eight,International Match,2019,2019-03-22 00:00:00+00:00,Mexico,Chile,3,1,1.21,1.63
FTE-00070,1941-20190322-70,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Bulgaria,Montenegro,1,1,1.81,0.54
FTE-00071,1941-20190322-71,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Albania,Turkey,0,2,0.57,0.2
FTE-00072,1941-20190322-72,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Portugal,Ukraine,0,0,0.93,0.77
FTE-00073,1941-20190322-73,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Luxembourg,Lithuania,2,1,1.42,0.95
FTE-00074,1941-20190322-74,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,England,Czech Republic,5,0,2.47,0.71
FTE-00075,1941-20190322-75,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Moldova,France,1,4,0.61,2.67
FTE-00076,1941-20190322-76,five_thirty_eight,European Championship Qualifying,2019,2019-03-22 00:00:00+00:00,Andorra,Iceland,0,2,0.1,1.95
FTE-00081,1929-20190323-81,five_thirty_eight,International Match,2019,2019-03-23 00:00:00+00:00,Brazil,Panama,1,1,2.14,0.4
FTE-00080,1941-20190323-80,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Georgia,Switzerland,0,2,0.31,2.06
FTE-00082,1941-20190323-82,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Malta,Faroe Islands,2,1,1.07,1.66
FTE-00083,1941-20190323-83,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Gibraltar,Iceland,0,1,0.65,1.87
FTE-00084,1941-20190323-84,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Sweden,Romania,2,1,2.27,1.57
FTE-00085,1941-20190323-85,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Bosnia and Herzegovina,Armenia,2,1,1.86,1.04
FTE-00086,1941-20190323-86,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Spain,Norway,2,1,4.19,1.37
FTE-00087,1941-20190323-87,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Liechtenstein,Greece,0,2,0.09,2.64
FTE-00088,1941-20190323-88,five_thirty_eight,European Championship Qualifying,2019,2019-03-23 00:00:00+00:00,Italy,Finland,2,0,0.86,0.73
FTE-00089,1941-20190324-89,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Kazakhstan,Russia,0,4,0.19,3.37
FTE-00090,1941-20190324-90,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Wales,Slovakia,1,0,0.99,1.16
FTE-00091,1941-20190324-91,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Hungary,Croatia,2,1,2.98,1.13
FTE-00092,1941-20190324-92,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Israel,Austria,4,2,1.79,2.79
FTE-00093,1941-20190324-93,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,San Marino,Scotland,0,2,0.13,3.08
FTE-00094,1941-20190324-94,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Netherlands,Germany,2,3,1.67,1.48
FTE-00095,1941-20190324-95,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Northern Ireland,Belarus,2,1,1.53,0.8
FTE-00096,1941-20190324-96,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Cyprus,Belgium,0,2,0.21,0.97
FTE-00097,1941-20190324-97,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Poland,Latvia,2,0,3.22,0.6
FTE-00098,1941-20190324-98,five_thirty_eight,European Championship Qualifying,2019,2019-03-24 00:00:00+00:00,Slovenia,North Macedonia,1,1,2.18,0.45
FTE-00099,1929-20190325-99,five_thirty_eight,International Match,2019,2019-03-25 00:00:00+00:00,Saudi Arabia,Equatorial Guinea,3,2,3.41,1.87
FTE-00100,1941-20190325-100,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Turkey,Moldova,4,0,4.08,0.46
FTE-00101,1941-20190325-101,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Montenegro,England,1,5,0.52,2.68
FTE-00102,1941-20190325-102,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Kosovo,Bulgaria,1,1,1.33,0.23
FTE-00103,1941-20190325-103,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Andorra,Albania,0,3,0.19,1.77
FTE-00104,1941-20190325-104,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Luxembourg,Ukraine,1,2,2.07,1.2
FTE-00105,1941-20190325-105,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,Portugal,Serbia,1,1,3.2,1.75
FTE-00106,1941-20190325-106,five_thirty_eight,European Championship Qualifying,2019,2019-03-25 00:00:00+00:00,France,Iceland,4,0,2.68,0.69
FTE-00107,1929-20190326-107,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Japan,Bolivia,1,0,0.92,0.11
FTE-00108,1929-20190326-108,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,South Korea,Colombia,2,1,0.53,0.92
FTE-00110,1929-20190326-110,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Morocco,Argentina,0,1,0.61,0.71
FTE-00111,1929-20190326-111,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Czech Republic,Brazil,1,3,0.94,2.36
FTE-00119,1929-20190326-119,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Honduras,Ecuador,0,0,0.55,0.91
FTE-00120,1929-20190326-120,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,USA,Chile,1,1,0.52,0.64
FTE-00121,1929-20190326-121,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Peru,El Salvador,0,2,2.91,0.37
FTE-00122,1929-20190326-122,five_thirty_eight,International Match,2019,2019-03-26 00:00:00+00:00,Mexico,Paraguay,4,2,2.12,0.28
FTE-00109,1941-20190326-109,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Armenia,Finland,0,2,1.22,1.94
FTE-00112,1941-20190326-112,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Switzerland,Denmark,3,3,0.71,1.78
FTE-00113,1941-20190326-113,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Romania,Faroe Islands,4,1,2.42,1.28
FTE-00114,1941-20190326-114,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Iceland,Georgia,1,0,0.86,0.63
FTE-00115,1941-20190326-115,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Bosnia and Herzegovina,Greece,2,2,0.59,2.29
FTE-00116,1941-20190326-116,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Italy,Liechtenstein,6,0,6.57,0.06
FTE-00117,1941-20190326-117,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Malta,Spain,0,2,0.03,2.26
FTE-00118,1941-20190326-118,five_thirty_eight,European Championship Qualifying,2019,2019-03-26 00:00:00+00:00,Norway,Sweden,3,3,2.62,3.5
FTE-00123,1929-20190530-123,five_thirty_eight,International Match,2019,2019-05-30 00:00:00+00:00,Turkey,Greece,2,1,1.24,0.89
FTE-00124,1929-20190601-124,five_thirty_eight,International Match,2019,2019-06-01 00:00:00+00:00,Venezuela,Ecuador,1,1,1.09,1.18
FTE-00125,1929-20190602-125,five_thirty_eight,International Match,2019,2019-06-02 00:00:00+00:00,Turkey,Uzbekistan,2,0,2.05,0.46
FTE-00126,1929-20190602-126,five_thirty_eight,International Match,2019,2019-06-02 00:00:00+00:00,France,Bolivia,2,0,2.58,0.17
